id,pregunta,opciones,correcta,tema
T5-001,¿Qué documento deben solicitar los extranjeros para residir legalmente en España?,El Documento Nacional de Identidad (DNI)||La Tarjeta de Identidad de Extranjero (TIE)||El certificado de empadronamiento,2,
T5-002,¿Cuál es el documento que certifica el lugar de residencia del titular?,El certificado de empadronamiento||La partida de nacimiento||El carné de conducir,1,
T5-003,¿A qué sustituye el registro electrónico individual?,Al DNI||Al permiso de conducir||Al libro de familia,3,
T5-004,¿Cuál es la edad mínima para conducir un coche en España?,16 años||18 años||20 años,2,
T5-005,El carné de conducir se hace en…,la Dirección General de Tráfico (DGT)||la Policía Nacional||el Registro Civil,1,
T5-006,Para sacar el carné de conducir hay que aprobar…,un examen teórico||un examen práctico||un examen teórico y otro práctico,3,
T5-007,¿Dónde se tramita el libro de familia?,En el Registro Civil||En la Seguridad Social||En las comisarías de policía,1,
T5-008,¿Cuál de estos canales de televisión es autonómico?,Telecinco||Nova||Canal Sur,3,
T5-009,¿Cuánto dura el permiso de maternidad o paternidad?,12 semanas||16 semanas||22 semanas,2,
T5-010,"¿Cuál es la tasa máxima de alcohol en sangre permitida a los conductores, en gramos por litro (g/l)?","0,5||0,7||0,9",1,
T5-011,¿Cuál es el tipo de residencia más habitual en España?,Casa rural||Piso en un edificio de viviendas||Chalé independiente,2,
T5-012,¿Qué comunidad autónoma es conocida por la calidad de su aceite de oliva?,Cantabria||Andalucía||La Rioja,2,
T5-013,¿Cómo se llama la revisión que deben pasar obligatoriamente los coches?,IBI (Impuesto sobre Bienes Inmuebles)||ITV (Inspección Técnica de Vehículos)||ITE (Inspección Técnica de Edificios),2,
T5-014,El aperitivo que acompaña a la bebida en bares y restaurantes se llam,.. a. bocadillo||tapa||primer plato,2,
T5-015,¿Dónde se tramita la tarjeta sanitaria?,En la comisaría de policía||En el centro de salud||En el Ministerio de Sanidad,2,
T5-016,¿Con cuántos hijos una familia es numerosa?,Con 1 hijo||Con 2 hijos||Con 3 hijos,3,
T5-017,En España está permitido el matrimonio…,solo entre personas del mismo sexo||entre personas del mismo y diferente sexo||solo entre personas de diferente sexo,2,
T5-018,Los propietarios de perros deben registrarlos en…,el Ministerio de Justicia||la comisaría de policía||el Ayuntamiento,3,
T5-019,Los principales ingredientes de la tortilla española son huevos y…,pimientos||patatas||tomates,2,
T5-020,¿Cuál es uno de los platos más conocidos internacionalmente de la gastronomía española?,Gazpacho||Pizza||Pasta,1,
T5-021,¿Cuál de estos canales de televisión es público?,Tele 5||La 1||Antena 3,2,
T5-022,"En una comunidad de vecinos, una de las normas es…",abrir la puerta al cartero||no molestar con ruido||limpiar los espacios comunes,2,
T5-023,¿Cuál de estos es el principal ingrediente de la paella valenciana?,Arroz||Chorizo||Garbanzos,1,
T5-024,La sidra es una bebida típica de…,Asturias||Valencia||Canarias,1,
T5-025,"Los españoles tienen dos apellidos, el primero es…",obligatoriamente el de la madre||obligatoriamente el del padre||puede ser el de la madre o el del padre,3,
T5-026,La Fiesta Nacional de España es el…,6 de diciembre||15 de agosto||12 de octubre,3,
T5-027,¿Qué días suelen cerrar la mayoría de las tiendas o el pequeño comercio?,Los lunes||Los domingos||Los sábados por la tarde,2,
T5-028,¿Dónde se hace el pasaporte?,En el registro civil||En una comisaría de policía||En el Ayuntamiento,2,
T5-029,El Ministerio de Igualdad es el encargado de luchar contra la violencia de género y la…,separación||discriminación||solidaridad,2,
T5-030,¿Qué comunidad autónoma es conocida por la calidad de sus cavas?,Galicia||Cataluña||Castilla-La Mancha,2,
T5-031,¿Qué documento se necesita para recibir atención médica en la sanidad pública?,El pasaporte||La tarjeta sanitaria||El certificado de nacimiento,2,
T5-032,"El horario de Canarias, con respecto a la Península, es de…",dos horas menos||una hora menos||una hora más,2,
T5-033,Para acceder a la Universidad se debe superar una prueba de evaluación llamada…,Selectividad||Examen preuniversitario||Prueba de Acceso a la Universidad,3,
T5-034,¿Cuál de estos productos necesita importar España de otros países?,Petróleo||Aceite de oliva||Medicamentos,1,
T5-035,¿Qué tipo de impuestos tienen que pagar los ciudadanos en España?,Impuestos directos como el IRPF||Impuestos indirectos como el IV A||Impuestos directos e indirectos,3,
T5-036,Los adultos sin Bachillerato pueden estudiar en la Universidad haciendo una prueba especial a partir de los…,18 años||23 años||25 años,3,
T5-037,"¿Dónde puede encontrarse la siguiente norma «No pisar el césped, ni arrancar flores»?",En zonas de recreo||En los teatros||En los estadios de fútbol,1,
T5-038,El Bachillerato en España…,es obligatorio||se compone de dos cursos académicos||es la enseñanza a alumnos de 14 a 16 años,2,
T5-039,El Impuesto sobre el Valor Añadido (IV A) forma parte de los…,Impuestos indirectos||Impuestos sobre la renta||Impuestos sobre sociedades,1,
T5-040,¿Qué número reciben los trabajadores al comenzar su primer empleo?,El de la Seguridad Social||El del pasaporte||El número de servicio,1,
T5-041,Los colegios públicos…,pueden decidir su número de plazas||pueden contratar a los profesores que quieran||son gratuitos,3,
T5-042,¿Cuál de estos puertos es uno de los principales de España?,Tenerife||Alicante||Algeciras,3,
T5-043,Un colegio concertado es un colegio privado que…,recibe dinero de la Administración||financian los padres de los alumnos||recibe dinero de los bancos,1,
T5-044,España exporta productos principalmente a países…,de Hispanoamérica||de la Unión Europea||del norte de África,2,
T5-045,Las bibliotecas públicas son gratuitas para…,todos||los parados||los niños,1,
T5-046,¿Cuál de estos productos exporta España más que importa?,Gas||Ropa||Calzado,3,
T5-047,Una persona mayor de 18 años puede obtener el título de Graduado en Educación Secundaria Obligatoria en…,un Centro de Educación de Personas Adultas||un centro de enseñanza primaria||una universidad,1,
T5-048,La formación profesional…,es para mayores de 25 años||puede ser de grado medio o superior||es obligatoria,2,
T5-049,¿Adónde vamos para ver al médico de familia o al pediatra?,Al hospital||Al centro de salud||A la farmacia,2,
T5-050,¿Para cuántos años vale la tarjeta sanitaria europea?,Para un año||Para dos años||Para 10 años,2,
T5-051,¿A qué hora se cena normalmente en España?,A las 18 h||A las 23 h||A las 21 o 22 h,3,
T5-052,¿Cuál es el número de teléfono único para cualquier emergencia?,060||112||911,2,
T5-053,¿Cuál de estos periódicos se publica a nivel nacional?,El Diario Vasco||El País||La V oz de Galicia,2,
T5-054,¿Dónde se venden sellos y tabaco?,En el quiosco||En la farmacia||En el estanco,3,
T5-055,¿Cuándo se puede llamar al número de teléfono para atención a víctimas de violencia de género?,Las 24 horas del día||En horario de mañana||De lunes a viernes,1,
T5-056,La organización que trabaja para conseguir la integración de las personas con discapacidad visual es…,la ONCE||Unicef||Cáritas,1,
T5-057,El Camino de Santiago es…,Patrimonio de la Humanidad||una vía de ferrocarril||una ruta para excursionistas,1,
T5-058,¿Cuál es el canal de televisión estatal que transmite noticias de actualidad nacional e internacional continuamente?,Teledeporte||La 1||Canal 24 horas,3,
T5-059,El teléfono gratuito para las víctimas de violencia de género es el…,091||112||016,3,
