id,pregunta,opciones,correcta,tema
T2-001,"En España, la Constitución obliga a todos los ciudadanos a practicar una religión.",Verdadero||Falso||,2,
T2-002,Los españoles que obtienen la nacionalidad por residencia deben esperar tres años para poder votar en las elecciones.,Verdadero||Falso||,2,
T2-003,"En España, la Constitución prohíbe la tortura y la pena de muerte.",Verdadero||Falso||,1,
T2-004,El funcionamiento de los partidos políticos tiene que ser democrático.,Verdadero||Falso||,1,
T2-005,Se puede obligar a alguien a decir cuáles son sus ideas políticas o religiosas.,Verdadero||Falso||,2,
T2-006,Se puede limitar a una persona el derecho a entrar y salir libremente de España por motivos ideológicos.,Verdadero||Falso||,2,
T2-007,La Educación Primaria (de 6 a 12 años) es gratuita y obligatori,a. Verdadero||Falso||,1,
T2-008,La Constitución garantiza el derecho de los españoles a una vivienda dign,a. Verdadero||Falso||,1,
T2-009,En España la policía puede entrar en cualquier casa sin resolución judicial en cualquier momento.,Verdadero||Falso||,2,
T2-010,"Se garantiza el secreto de las comunicaciones de los españoles, salvo resolución judicial.",Verdadero||Falso||,1,
T2-011,La Constitución reconoce el derecho de los ciudadanos a asociarse libremente.,Verdadero||Falso||,1,
T2-012,"Los profesores pueden enseñar con libertad, dentro de los límites de la Constitución.",Verdadero||Falso||,1,
T2-013,La Constitución reconoce únicamente los derechos fundamentales de los españoles.,Verdadero||Falso||,2,
T2-014,Los ciudadanos deben colaborar con los jueces si se lo piden.,Verdadero||Falso||,1,
T2-015,La ley limita el acceso de terceras personas a datos de carácter personal.,Verdadero||Falso||,1,
T2-016,La libertad de prensa está limitada por el respeto al honor de las personas.,Verdadero||Falso||,1,
T2-017,En España las causas de separación y divorcio están reguladas por la ley.,Verdadero||Falso||,1,
T2-018,La atención sanitaria gratuita es solo para personas mayores de 65 años.,Verdadero||Falso||,2,
T2-019,En España los hombres y las mujeres tienen los mismos derechos.,Verdadero||Falso||,1,
T2-020,La enseñanza obligatoria consta de dos etapas: Educación Primaria y Educación Secundaria Obligatori,a. Verdadero||Falso||,1,
T2-021,En España hay una religión oficial.,Verdadero||Falso||,2,
T2-022,La atención sanitaria pública es gratuit,a. Verdadero||Falso||,1,
T2-023,La enseñanza básica en España es solo para los extranjeros.,Verdadero||Falso||,2,
T2-024,En España está reconocido el derecho de asociación.,Verdadero||Falso||,1,
T2-025,Los sindicatos pueden participar en negociaciones con empresarios y con el Gobierno.,Verdadero||Falso||,1,
T2-026,Los trabajadores tienen derecho a hacer huelg,a. Verdadero||Falso||,1,
T2-027,La libertad ideológica está garantizada solo en parte del territorio nacional.,Verdadero||Falso||,2,
T2-028,"Todos los ciudadanos tienen acceso al sistema de Seguridad Social público, excepto si están desempleados.",Verdadero||Falso||,2,
T2-029,"Todos tienen derecho a disfrutar de un medio ambiente adecuado para el desarrollo de la persona, así como el deber de conservarlo.",Verdadero||Falso||,1,
T2-030,"En España, los poderes públicos deben proteger la salud y promover el deporte.",Verdadero||Falso||,1,
T2-031,La enseñanza básica en España es obligatoria y gratuit,a. Verdadero||Falso||,1,
T2-032,La ley prohíbe la discriminación por cualquier circunstancia personal o social.,Verdadero||Falso||,1,
T2-033,"En España, los ciudadanos pueden desplazarse libremente por todo el territorio nacional.",Verdadero||Falso||,1,
T2-034,Los jueces administran la justicia en España según las indicaciones del Gobierno.,Verdadero||Falso||,2,
T2-035,Los españoles deben ayudar en los casos de catástrofe o calamidad públic,a. Verdadero||Falso||,1,
T2-036,En España los ciudadanos pueden elegir en qué ciudad quieren vivir.,Verdadero||Falso||,1,
