id,pregunta,opciones,correcta,tema
T1-001,España es…,una monarquía parlamentaria||una república federal||una monarquía federal,1,
T1-002,La ley fundamental de España se llama…,Constitución||Ley básica||Ordenamiento esencial,1,
T1-003,"Según la Constitución española, la soberanía nacional reside en…",el pueblo español||el Gobierno del Estado||el Congreso de los Diputados,1,
T1-004,El Instituto de las Mujeres es…,una institución europea||un organismo español||una ONG,2,
T1-005,¿Cuándo puedo hacer los trámites en la sede electrónica?,En cualquier horario||Únicamente por la mañana||De lunes a viernes,1,
T1-006,El castellano o español es lengua oficial…,en toda España||solo donde no hay otras lenguas||en toda la península ibérica,1,
T1-007,¿Cuál de estas fuerzas de seguridad es de ámbito autonómico?,Policía local||Guardia Civil||Policía Foral de Navarra,3,
T1-008,¿Qué fuerza de seguridad está en toda España?,La Policía Foral de Navarra||El Cuerpo Nacional de Policía||Los Mossos d’Esquadra,2,
T1-009,"En la Constitución se establece la separación de poderes: el poder ejecutivo, el legislativo y el…",judicial||informativo||político,1,
T1-010,La bandera de España debe utilizarse…,solo los días de fiesta oficial||en todos los edificios públicos||solo en actos del Gobierno español,2,
T1-011,¿Quién es el jefe del Estado en España?,El presidente del Gobierno||El rey||El ministro de Economía,2,
T1-012,La gestión de la sanidad es competencia de…,el Estado||las comunidades autónomas||los ayuntamientos,2,
T1-013,¿Quién fue el primer presidente del Gobierno de España en democracia?,Mariano Rajoy||Adolfo Suárez||José Luis Rodríguez Zapatero,2,
T1-014,¿Cuál de estos organismos se encarga de interpretar la Constitución?,El Poder Constitucional||El Tribunal Constitucional||El Consejo General del Poder Judicial,2,
T1-015,¿Quién modera el funcionamiento de las instituciones españolas?,El presidente del Gobierno||El rey||El director de la Real Academia Española,2,
T1-016,¿Cómo se llama la cámara de representación territorial en España?,Senado||Diputación permanente||Congreso de los Diputados,1,
T1-017,¿Qué se necesita para hacer trámites por internet con la Administración?,Un pasaporte válido||Una firma electrónica||Una firma en papel,2,
T1-018,¿Cómo se aprobó la Constitución?,Por imposición legal||Por referéndum||Por el Tribunal Constitucional,2,
T1-019,¿Cómo se llama la ley más importante de cada comunidad autónoma?,Estatuto de Autonomía||Normativa autonómica||Ley de la comunidad,1,
T1-020,Las instalaciones culturales y deportivas públicas son competencia del…,"Ayuntamiento||Ministerio de Educación, Formación Profesional y Deportes||Ministerio de Igualdad",1,
T1-021,¿Quién dirige la administración militar de España?,Los ayuntamientos||El Gobierno||Las Cortes Generales,2,
T1-022,"¿Qué hay en las Islas Baleares, en vez de diputaciones?",Cabildos||Consejos insulares||Centros de diputados,2,
T1-023,¿Qué ciudad tiene más habitantes?,Sevilla||Barcelona||Zaragoza,2,
T1-024,Las Cortes Generales representan…,al pueblo español||a los partidos políticos||a los ministros,1,
T1-025,El Congreso de los Diputados y el Senado constituyen el poder…,ejecutivo||legislativo||judicial,2,
T1-026,¿Cómo pueden los ciudadanos proponer nuevas leyes al Congreso?,Reuniendo 500 000 firmas||Solicitándolo al rey||Creando una asociación,1,
T1-027,¿Cuántas comunidades autónomas hay en España?,8||17||25,2,
T1-028,Los colores de la bandera española son…,blanco y rojo||rojo y amarillo||amarillo y blanco,2,
T1-029,¿Dónde está la sede del Gobierno de España?,En Madrid||En Barcelona||En Sevilla,1,
T1-030,La bandera azul con 12 estrellas amarillas en círculo es la bandera de…,la Unión Europea||el Parlamento Europeo||la Comisión de Europa,1,
T1-031,En las elecciones municiales se vota a…,alcaldes y concejales||ministros y ministras||diputados y senadores,1,
T1-032,¿Qué lengua es oficial en el País Vasco?,El bable||El aragonés||El euskera,3,
T1-033,Todos los españoles tienen el deber de conocer la lengua…,autonómica del Estado||oficial del Estado||local del Estado,2,
T1-034,El aranés es una lengua cooficial que se habla en un pequeño territorio de…,Cataluña||La Rioja||Aragón,1,
